"","ResponseId","screener1","screener2","screener2_7_TEXT","challenges_Open","noncompliance","personnel","burnout","difficultPatients","ypControl1","articleResponse","articleResponse_Open","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","timer_First.Click.4","severe","treatment_1","treatmentDose_1_1","frustrating_1","initiative_1","honest_1","exaggerate_1","deserve_1","difficult_1","givingUp_1","lazy_1","motivated_1","healthImproves_1","intelligent_1","attributions_1","treatment_2","treatmentDose_2_1","notes_1","frustrating_2","initiative_2","honest_2","exaggerate_2","deserve_2","difficult_2","givingUp_2","lazy_2","motivated_2","healthImproves_2","intelligent_2","attributions_2","moveForwardOpen","notes_2","opinionPatient_Open","feelPatient_Open","yearsWork_1","specialty","jobTitle","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingWhere","trainingWhere_US","trainingWhere_notUS","age","gender","gender_5_TEXT","race","race_6_TEXT","race_7_TEXT","ladder","politics","income","edFather","edMother","Create.New.Field.or.Choose.From.Dropdown...","Condition"
"13","R_5NV9HBLfjDeI0o8","1","1","","1. Patient buy-in for new/advanced treatments. Sometimes, when discussing the possibility of a new/improved treatment option, it can be challenging to increase patient willingness to consider this option and its associated benefits. 

2. Navigating frequent ED visits related to medication non-compliance or gaps in health literacy.

3. Navigating patient compliance with relation to follow-up testing/appointments.","6","4","6","5","There are times when staffing concerns become a tremendous issue at my hospital; this is most often encountered during the weekends when the patient census increases and there are a limited number of readily-available providers to see them. Often times, this results in a much higher patient load for the physicians working in in-patient care. It appears that limited staffing not only impacts the number of patients that can be readily seen, but also takes a major toll on the length of hospital stay and the resulting number of available patient beds. ","9","Patient non-compliance and limited staffing, in the general sense, are strong contributors to physician burnout, and lead to overall poor patient outcomes, longer hospital stays, and the reduced availability of beds for new high-acuity patients. ","4","2","4","1","4","1","1","1","4","4","1","5","1","4","1","5","5","1","4","1","0","8","5,7","60","4","5","5","2","5","3","1","2","1","5","3","2","2,5","52","Dave sees his provider for complaint of acute ankle pain sustained after a mild traumatic injury.

Provider orders diagnostic imaging, which confirms a lateral malleolar displacement fracture consistent with Dave's pain.

Provider prescribes moderate dose acetaminophen and a weak opioid for pain control.

After follow-up, Dave's pain has not improved, but he admits to non-adherence to provider's plan due to lack of time. ","5","5","5","2","5","4","2","4","1","5","3","1","I would re-explain my recommendations to Dave and emphasize their associated benefits in the hopes that it would increase his compliance. ","Dave returns to provider for follow-up. His pain is not improved.

Provider asks Dave if he has followed any recommendations for improving his pain.

Dave states that he has not followed recommendations because it ""slipped his mind"".

Dave continues to have ongoing pain related to his traumatic ankle injury. ","I wonder what Dave's motivations are for seeking care if he is intent on not following recommendations. I would be curious about his understanding of the relationship between these recommendations and the potential impact on his pain level. I think that Dave likely has a lot of things going on in his external environment that may be impacting his compliance. ","Mildly frustrated.","3","Neurology","Physician","3","","80","1","15","","40","2","","3","","","7","2","4","1","2","","Control_Active"
"14","R_68dZg6gEpenjex3","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","R_12KK0x3ry6YlUbE","1","1","","Long working hours. As far as I am concerned am always working.
Too many rules that I feel make it difficult to dispense my work in a way I see fit. Every hospital and healthcare facility I have worked in has varying degree of internal guidelines which don't always make my work any easy.
Cost of retraining or doing professional courses is too high. I have to really dig into my savings anytime I want to do a professional certification in a particular field.","6","5","6","6","Burn out due to long working hours. I work an average of 60 hours per week which is exhausting.
Non adherence to drug regime. A significant number of my patients will not adhere to the prescription I give them. 
Stressful work environment. Some of the facilities I work in have sales target and I have to try to meet my quota. This means I am working long hours and under stress.
Ill equipped facilities. Some facilities I have worked in barely had any functioning equipment yet they expected to provide excellent services to the patients. This meant that some simple procedures like x-rays had to be referred to other facilities which inconvenienced the patients and their care takers a lot.","","","4","3","4","2","3","1","2","1","3","3","2","5","1","4","1","4","5","1","4","2","0","9","5,6","32","5","4","2","4","5","5","1","3","2","5","4","1","6,8","68","Patient not adhering to previous prescription. 
Patient needs bi-weekly observation
Recommend x-ray during next visit","5","5","1","5","5","5","4","4","1","5","3","1","I would have his injury x rayed to determine if indeed there is an issue. If the report shows there is an issue I would still go ahead and treat it. If there is no issue I would release Dave and refer him to the local social workers for monitoring. He could be suffering from other undiagnosed issue.","Patient needs an urgent x ray on injury
Patient to be seen by a social worker for evaluation
Risk of misuse of drugs. Do not prescribe opiods.","He might not have the mental capacity to comprehend the importance of adhering to the drug regime. He may need a full time caretaker who will ensure he finishes his dosage as per the prescription. The patient may also be selling the prescription drugs that I am prescribing for him.","I feel a bit frustrated with the patient. IAt this stage I would refer him to another expert for evaluation.","13","Family medicine","General physician","4","","81","1","34","","38","2","","3","","","6","6","5","2","2","","Control_Passive"
"16","R_1v1fi23o1yuNr9w","1","1","","1)Finding enough time to devout to patient care in opposition to billing and documentation.
2) Dealing with insurance authorizations that requrie excessive back and forth.
3) Having to balance patient care and best interests of the patient's health with the online review system of current healthcare.","5","5","5","5","There is a level of care and dedication required to attend to patients and truly provide them with the best care you can and sometimes that requires putting everything else in life on the backburner. Some specialties allow you to turn that switch off when you head home for the day but other specialties have you just turn the switch down when you head home and you never truly get a chance to turn it off.","9","These articles described the day to day of medicine in the US and described some of the physician struggles we face. ","4","1","2","1","3","1","1","1","3","3","1","3","1","2","1","3","4","1","2","1","0","6","6,7","62","4","3","5","2","5","3","3","3","3","5","3","5","6,7","50","Patient endorses same pain as 3 weeks ago.

Has not followed reccomendations or treatment plan.

Consult patient about necessity to rest injured foot and to not weight bear to reduce pain and progress to normal life routines","4","4","4","3","5","3","1","3","3","5","3","5","I would first sternly and firmly explain to him the importance of following the health plan and my treatment recommendations in order for his ankle to improve. I would also question Dave if he has any particular difficulties in following the plan or other life activies which impact his ability to follow the current health plan.","Patient still endorses pain, non-improving.
Patient has not followed reccomendations or health plan at all, says it ""slipped his mind""
Emphasize importance and explain why I would like him to follow this health plan. Enquire if he has any particular hurdles or issues following the plan and if there is anything we can do to help him stay on track","Dave is a patient who is probably more interested in other things rather than listening to his physician and he is probably too young to understand the importance of his health.","It's a bit frustrating to have a patient who does not engage in the health plan but I also understand that Dave is a young man who may not really understand the importance of his health.","5","Anesthesiology ","Resident Physician","2","","80","1","31","","30","1","","2","","","8","3","7","3","4","","Control_Active"
"17","R_3MsTUx9zyuYeG5g","1","1","","Insurance coverage/reimbursement 
Patient policies for late or missed appointments
Human resources and administration ","6","6","5","5","Difficult patients, scheduling issues, insurance coverage, poor administration policies.","","","3","3","1","2","3","1","2","1","2","1","2","4","1","2","2","4","5","1","2","1","0","5","1,7","32","4","4","4","2","4","3","2","2","3","4","3","4","1,7","30","Patient has not been following treatment plan due to time constraints. He reports the pain has not changed. Recommending prior treatment plan again.","5","4","3","3","4","4","3","3","2","4","3","3","I would tell him that if he wants relief, he needs to follow my recommendations.","Patient has not followed recommendations for treatment. He is still in pain. Needs to follow instructions if he wants to continue care. ","He is a difficult patient.","Tired, burnout.","4","Audiology ","Doctor","3","","90","1","39","","29","2","","1","","","5","1","5","4","2","","Control_Passive"
"18","R_5k0QVUhFFNDC8BR","1","1","","Lack of care coordination
Reimbursement is low for primary care
Dealing with insurance carriers","4","6","6","4","The article is spot on in highlighting the issues today - staffing, burnout, dealing with technology.  As budgets get tighter, administrators are looking for savings and employee labor is one of the highest costs so reducing labor cost, either via technology adoption or employee attrition, is rampant.","8","All of the issues described are occurring to some degree in each physician's practice.","4","3","3","2","5","1","1","1","4","5","2","4","1","3","1","4","5","1","4","1","0","9","7,8","70","4","4","5","3","5","3","1","2","3","5","5","5","7,8","81","'-malleolar fracture with moderately severe pain
-NSAID and topical agent prescribe but no opioid
-Non-adherent with plan; pain continues","4","5","5","3","5","3","1","1","3","5","5","5","Probing questions about barriers to his adherence with treatment plan - Hx of opioid dependence/drug seeking? Cost concerns? Emphasize need for healing to avoid longer term issues with ankle.","'-Non-adherent with plan
-Still keeping appointments!
-Explored non-adherence","Making it hard on himself by not following plan","'-Worried why he's not adherent with plan but keeps his follow-up appointments.","35","IM","Sr Director","26","","70","1","44","","60","1","","1","","","8","4","7","3","2","","Control_Active"
"19","R_72JUIkZxlUss67R","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","R_7nRwP1KKea3Uizv","1","1","","1. lack of patient understanding about the importance of exams.
2. access for patients to affordable healthcare. some patients forgo medical advice due to inability to afford it.
3. lack of transparency between provider and insurance companies.","5","6","6","6","some difficulties I encounter while providing healthcare is when I encounter patients who are mean and will not listen to medical advice. You can tell them pertinent information about their health and the urgency to seek treatments but they may not care. ","","","2","3","2","3","3","1","2","4","2","2","4","3","2","1","3","2","2","3","2","2","0","6","6,8","39","4","5","5","4","4","4","2","4","2","5","3","2","6,8","38","1. dave presents with dull ankle pain at the first visit, was prescribed tramadol and topical lidocaine gel
2. dave presents at f/u visit with complaint of no improvement to pain
3. dave admits to not following the initial treatment plan.","5","5","5","5","4","5","3","5","1","4","2","2","I will recommend in person treatment for dave. I will emphasize importance of following the treatment regiment. ","1. dave is noncompliant with treatment
2. do not increase dosage for dave until he complies with initial treatment
3. recommend follow up with dave to remind him to do treatment.","I think dave does not take medical advice seriously. He is a difficult patient to treat due to noncompliance. ","I feel worthless. ","3","primary care","optometrist","3","","92","1","5","","28","2","","2","","","7","2","7","2","1","","Control_Passive"
"21","R_3ql4sts2DqhvWZe","1","1","","1. Keeping Up with advances in technology and treatments
2. Managing patients expectations and anxiety
3. Administrative and Regulatory Burden (dealing with insurance, regulations in the space, and paper work)","6","5","6","6","From my personal experience some difficulties that I encounter as a dentist while providing healthcare include keeping up with technological advances especially with everything continually changing and evolving and it almost seems impossible for my 46 year old Brain to keep up with everything, ensuring patient compliance with treatment plans and oral hygiene, addressing staffing issues, staying compliant with regulatory requirements, managing financial pressures and trying my best to maintain a healthy work-life balance while also trying spend time with my family.","9"," The articles match my experiences as a dentist. They talk about patient noncompliance, staffing problems, and keeping up with new technology. These are all challenges I face in my work.","5","2","4","1","4","1","1","1","4","4","2","3","1","4","1","4","5","2","4","1","0","7","3,4","27","5","5","5","1","5","3","2","4","3","5","3","5","3,4","68","Patient Condition: Dave recently twisted his ankle.
Treatment Given: Methadone and fentanyl administered for pain management.
Follow-Up Needed: Monitor for opioid side effects and reassess pain levels and ankle condition.","5","4","5","1","4","4","1","2","3","5","3","2","If Dave has not followed the treatment plan again, I would talk to him to understand why and address any concerns. I would then adjust the plan to make it easier for him to follow and explain why sticking to the treatment is important for his recovery and what could happen if he doesn't.","Patient Condition: Dave twisted his ankle and was given methadone and fentanyl for pain. He has not followed the treatment plan twice.
Noncompliance Discussion: Talked with Dave about why he isn't following the plan. He mentioned side effects and difficulties with the treatment.
Plan Adjustment : Changed the treatment plan to be easier for Dave. Explained why it's important to follow it and what might happen if he doesn't. Follow-up needed to check progress.","Dave seems like a good and honest person, he should try to just keep with the prescribed treatment and medicine, he should also understand that everything as a doctor we are doing is for him and for his health.","I feel kind of frustrated but we as health care providers have to try our best to help our patients as much as we can.","16","Doctor of Dental Medicine (Dentist)","Doctor of Dental Medicine (Dentist)","16","","80","1","31","","46","1","","2","","","8","5","7","3","2","","Control_Active"
"22","R_7RyFXWcQDngIg08","1","1","","1. **Workload and Time Constraints**: Healthcare providers frequently encounter heavy workloads and time constraints, leading to burnout and decreased quality of patient care. Balancing administrative tasks, patient consultations, and keeping up with medical advancements can be overwhelming.

2. **Administrative Burden**: Increasing administrative tasks, such as documentation, billing, and compliance with regulations, can consume a significant portion of healthcare providers' time, taking away from direct patient care and contributing to frustration and inefficiency.

3. **Technological Integration and Data Management**: Adopting and integrating new technologies into healthcare practices, such as electronic health records (EHRs) and telemedicine platforms, while ensuring patient privacy and data security, presents challenges. Healthcare providers must navigate complex systems and ensure seamless communication while adapting to evolving technological landscapes.


These challenges highlight the multifaceted nature of healthcare delivery and underscore the need for ongoing support, resources, and innovation to address them effectively.","5","5","6","6","1. **Communication Barriers**: Effective communication with patients from diverse backgrounds, including those with language barriers, cultural differences, or limited health literacy, can pose challenges in delivering care and ensuring patient understanding.

2. **Time Constraints**: Healthcare providers often face time constraints, which can impact the quality and depth of patient consultations, as well as the ability to address all patient concerns adequately within a limited timeframe.

3. **Emotional Demands**: Dealing with patients who are experiencing pain, distress, or emotional turmoil can be emotionally taxing for healthcare providers. Maintaining empathy and compassion while managing one's own emotional well-being is essential but challenging.

4. **Complex Cases and Uncertainty**: Managing complex medical cases or situations with uncertain outcomes requires critical thinking, diagnostic skills, and the ability to navigate ambiguity. Healthcare providers may encounter challenges in diagnosing rare conditions, determining appropriate treatment plans, and addressing unforeseen complications.

5. **Interdisciplinary Collaboration**: Collaborating with multidisciplinary healthcare teams, including specialists, nurses, therapists, and other professionals, can be challenging due to differences in perspectives, communication styles, and treatment approaches. Effective teamwork and communication are essential but require effort and coordination.","9","Because they are actually relatable","5","4","4","3","3","1","3","4","5","5","3","4","2","5","5","5","5","5","5","3","0","9","3,4","55","3","4","4","1","5","4","1","1","3","4","3","2","2,4","55","a very strong painkiller was prescribed 
he was scheduled for a surgery 
another strong painkiller was prescribed","4","4","4","2","5","3","4","4","2","4","3","2","use injection instead of prescribing drugs","He's a stubborn patient
He skips his drugs
He needs help
","he is stubborn and cares less about his health","disappointed","5","neurosurgeon ","Assistant Neurosurgeon ","4","","53","1","45","","26","1","","3","","","5","5","2","3","3","","Control_Active"
"23","R_7mHGBwUD6yBHE0V","1","1","","1) Administration/hospital systems prioritizing profit over patient care, often feeling like we are the face of poor healthcare when it comes from higher-up decisions that we cannot control
2) Chronically understaffed departments with failing equipment and higher volumes than ever before, often relying more on staff to ""do the right thing"" and work overtime without pay or do twice the amount of work for the same pay
3) People not understanding the healthcare system or falling through the cracks (ie difficulty finding primary care), putting even more strain on areas of care (especially the ER)","4","6","6","6","Often times people do not trust physicians/the healthcare system in general or do not understand it - instead of forming a partnership or therapeutic relationship, it often feels hostile or paternalistic. Others expect or demand care to be catered to their expectations, and when they cannot pick and choose the exact treatment plan or medications/disposition, they become aggressive or leave instead of listening to the healthcare team to understand why we suggest a different treatment plan.","","","4","2","2","1","3","1","1","1","3","2","1","4","1","2","1","3","4","1","2","1","0","3","7,8","54","4","3","4","1","5","2","2","1","3","4","3","5","7,8","85","'- Pain not improved x 3 weeks
- Was prescribed tylenol/lidocaine patches (not taking consistently)
- Having difficulty completing treatment regimen as prescribed due to busy schedule","4","3","4","1","5","2","2","2","3","4","3","4","Addressing why he has not tried the treatment more - assessing if he understood prior recommendations (repeat back), ask what barriers he can identify, work together to address them. If pain not improving, should see someone in office and/or referral to ortho as he may need operative fixation","'- Pain continued x3 weeks, no improvement
- Rx'd tylenol/lidocaine patches (not using consistently)
- Reports forgetting to try treatment plans","Young kid with a lot of external factors making it difficult to take medications/follow suggestions due to his environment, social pressures, cost, time strain. May not have good health literacy/understand importance of following these recommendations, may have not had good teaching in ~5min encounters.","Frustrated, tired, wanting to help but also fearing this patient will continue to not listen/forget or will not address barriers to care (or may not know to discuss these), making his condition worse. ","5","Emergency Medicine","Physician","5","","30","1","33","","28","2","","1","","","7","1","7","4","4","","Control_Passive"
